journal	IF2023	quartile2023
CONTEMP NURSE	1.2	Q3
CONTEMP ONCOL (POZN)	2.9	Q2
CONTEMP PAC	0.3	Q3
CONTEMP PHYS	3	Q2
CONTEMP PROBL ECOL	0.7	Q4
CONTEMP PSYCHOANAL	0.5	Q2
CONTEMP SECUR POLICY	4	Q1
CONTEMP SOC SCI	2.1	Q1
CONTEMP SOCIOL	0.3	Q4
CONTEMP SOUTH ASIA	0.5	NA
CONTEMP SOUTHEAST ASIA	1	Q3
CONTEMPORANEA	0.3	Q2
CONTIN CHANG	0.4	Q3
CONTIN MECH THERMODYN	1.9	Q3
CONTINUUM (MOUNT LAWLEY)	0.8	NA
CONTRACEPT REPROD MED	2.2	Q2
CONTRACEPTION	2.8	Q1
CONTREE	0.1	Q3
CONTRIB INDIAN SOCIOL	0.8	Q3
CONVERGENCE (LOND)	2.4	Q1
COOP CONFL	1.9	Q2
COORD CHEM REV	20.3	Q1
COPD	2.2	Q3
COR VASA	0.2	Q4
CORAL REEFS	2.7	Q1
CORNEA	1.9	Q2
CORNELL INT LAW J	0.2	Q4
CORNELL LAW REV	2.5	Q1
CORON ARTERY DIS	1.5	Q3
CORP SOC RESPONSIB ENVIRON MANAG	8.3	Q1
CORPUS LINGUIST LINGUIST THEORY	1	Q2
CORPUS PRAGMAT	1.3	Q2
CORROS SCI	7.4	Q1
CORTEX	3.2	Q1
COSMETICS	3.4	Q2
COST EFF RESOUR ALLOC	1.7	Q3
COUNS PSYCHOL	1.9	Q3
COUNS PSYCHOL Q	1.6	Q3
COUNS PSYCHOTHER RES	1.2	Q3
COUNS VALUES	0.7	Q4
COUPLE FAMILY PSYCHOL	1.9	Q2
CPT PHARMACOMETRICS SYST PHARMACOL	3.1	Q2
CRANIO	2	Q2
CRANIOMAXILLOFAC TRAUMA RECONSTR	0.8	Q4
CRC CRIT REV PLANT SCI	6	Q1
CREAT NURS	0.6	Q4
CREAT RES J	2.5	Q2
CRETAC RES	1.9	Q1
CRIM BEHAV MENT HEALTH	1.1	Q4
CRIM JUSTICE BEHAV	2.1	Q2
CRIM JUSTICE STUD (ABINGDON)	1.9	Q3
CRIM LAW FORUM	0.9	Q2
CRIM LAW J	0.3	Q3
CRIM LAW PHILOS	0.7	Q2
CRIME JUSTICE	3.6	Q1
CRIME MEDIA CULT	1.7	Q2
CRIME SCI	3.1	Q1
CRIMINOL CRIM JUSTICE	1.6	Q2
CRIMINOL PUBLIC POLICY	3.5	Q1
CRIMINOLOGIE (MONTR)	0.2	Q4
CRIMINOLOGY	4.6	Q1
CRISIS	1.7	Q2
CRISPR J	3.7	Q2
CRIT AFR STUD	1.3	Q2
CRIT ANTHROPOL	1.5	Q2
CRIT ARTS	1.1	Q2
CRIT ASIAN STUD	1.7	Q1
CRIT CARE	8.8	Q1
CRIT CARE CLIN	3	Q2
CRIT CARE MED	7.7	Q1
CRIT CARE NURS CLIN NORTH AM	1.4	Q3
CRIT CARE NURS Q	1	Q4
CRIT CARE NURSE	2	Q2
CRIT CARE RES PRACT	1.8	Q3
CRIT CARE RESUSC	1.4	Q3
CRIT CRIMINOL	1.4	Q2
CRIT INQ	2	Q1
CRIT POLICY STUD	1.9	Q3
CRIT PUBLIC HEALTH	3.1	Q1
CRIT Q	0.2	NA
CRIT RADIC SOC WORK	1.4	Q2
CRIT REV (N Y)	0.4	Q4
CRIT REV ANAL CHEM	4.2	Q1
CRIT REV BIOCHEM MOL BIOL	6.2	Q1
CRIT REV BIOTECHNOL	8.1	Q1
CRIT REV CLIN LAB SCI	6.6	Q1
CRIT REV ENVIRON SCI TECHNOL	11.4	Q1
CRIT REV EUKARYOT GENE EXPR	1.5	Q4
CRIT REV FOOD SCI NUTR	7.3	Q1
CRIT REV IMMUNOL	0.8	Q4
CRIT REV INT SOC POLITICAL PHILOS	0.9	Q3
CRIT REV MICROBIOL	6	Q1
CRIT REV ONCOL HEMATOL	5.5	Q1
CRIT REV THER DRUG CARRIER SYST	3	Q2
CRIT REV TOXICOL	5.7	Q1
CRIT SOC POLICY	2.3	Q1
CRIT SOCIOL (EUGENE)	1.7	Q2
CRIT STUD EDUC	4	Q1
CRIT STUD MEDIA COMMUN	1.1	Q3
CRIT STUD SECUR	1.8	Q2
CRIT STUD TERROR	1.6	Q2
CRIT ULTRASOUND J	3.6	Q1
CROAT CHEM ACTA	0.7	Q4
CROAT MED J	1.5	Q2
CROHNS COLITIS 360	1.8	Q3
CROP PASTURE SCI	1.8	Q2
CROP PROT	2.5	Q1
CROP SCI	2	Q2
CROSS CULT RES	2.3	Q1
CRUSTACEANA	0.6	Q4
CRYO LETTERS	1	Q4
CRYOBIOLOGY	2.3	Q3
CRYOGENICS (GUILDF)	1.8	Q3
CRYOSPHERE	4.4	Q1
CRYPTOGAM MYCOL	1.8	Q3
CRYPTOGR COMMUN	1.2	Q2
CRYST GROWTH DES	3.2	Q2
CRYSTALLOGR REP	0.6	Q4
CRYSTALLOGR REV	2	Q2
CRYSTALS (BASEL)	2.4	Q3
CRYSTENGCOMM	2.6	Q1
CUAD BIOET	0.3	Q4
CUAD ESTUD GALLEGOS	0.1	Q3
CUAD HISPANOAM	0.1	NA
CUAD HIST CONTEMP	0.3	Q2
CUAD HIST DERECHO	0.2	Q4
CUAD HIST MOD	0.2	Q2
CULT AGRIC FOOD ENVIRON	1.3	Q3
CULT ANTHROPOL	1.9	Q1
CULT GEOGR	1.6	Q2
CULT HEALTH SEX	1.8	Q3
CULT MED PSYCHIATRY	1.5	Q3
CULT PSYCHOL	1	Q3
CULT RELIG	0.3	NA
CULT SOC HIST	0.5	Q1
CULT SOCIOL	1.4	Q2
CULT STUD	1.6	Q1
CULT STUD CRIT METHODOL	0.9	Q2
CULT STUD SCI EDUC	1.3	Q2
CULT TRENDS	1.7	Q2
CULTUR DIVERS ETHNIC MINOR PSYCHOL	3.2	Q1
CULTURA (IASI)	0.1	NA
CURATOR (N Y)	1	NA
CUREUS	1	Q3
CURR ADDICT REP	4.1	Q1
CURR ALLERGY ASTHMA REP	5.4	Q1
CURR ALZHEIMER RES	1.8	Q4
CURR ANAL CHEM	1.7	Q3
CURR ANESTHESIOL REP	1.6	Q2
CURR ANTHROPOL	2.1	Q1
CURR APPL PHYS	2.4	Q3
CURR ATHEROSCLER REP	5.7	Q1
CURR BEHAV NEUROSCI REP	2.1	Q3
CURR BIBLIC RES	0.6	NA
CURR BIOINFORM	2.4	Q2
CURR BIOL	8.1	Q1
CURR BLADDER DYSFUNCT REP	0.2	Q4
CURR BREAST CANCER REP	1	Q4
CURR CANCER DRUG TARGETS	2.3	Q3
CURR CANCER THER REV	0.4	Q4
CURR CARDIOL REP	3.1	Q2
CURR CARDIOL REV	2.4	Q2
CURR CARDIOVASC IMAGING REP	0.6	Q4
CURR CARDIOVASC RISK REP	2	Q3
CURR CLIM CHANGE REP	9.3	Q1
CURR CLIN MICROBIOL REP	3.1	Q2
CURR COMPUT AIDED DRUG DES	1.5	Q3
CURR DERMATOL REP	2.4	Q2
CURR DEV DISORD REP	2.2	Q1
CURR DEV NUTR	3.8	Q2
CURR DIAB REP	5.2	Q1
CURR DIABETES REV	2.4	Q3
CURR DIR PSYCHOL SCI	7.4	Q1
CURR DRUG DELIV	2.8	Q2
CURR DRUG METAB	2.1	Q3
CURR DRUG SAF	1.1	Q4
CURR DRUG TARGETS	3	Q2
CURR DRUG THER	0.3	Q4
CURR EMERG HOSP MED REP	1.4	Q3
CURR ENVIRON HEALTH REP	7.4	Q1
CURR EPIDEMIOL REP	3	Q2
CURR EYE RES	1.7	Q3
CURR FOR REP	9	Q1
CURR FUNGAL INFECT REP	2.3	Q3
CURR GENE THER	3.8	Q2
CURR GENET	1.8	Q3
CURR GENET MED REP	1.4	Q4
CURR GENOMICS	1.8	Q3
CURR GERIATR REP	1.1	Q4
CURR HEART FAIL REP	3.8	Q1
CURR HEMATOL MALIG REP	2.7	Q3
CURR HIST	2.4	Q1
CURR HIV RES	0.8	Q4
CURR HIV/AIDS REP	3.7	Q2
CURR HYPERTENS REP	3.9	Q1
CURR HYPERTENS REV	1.5	Q3
CURR INFECT DIS REP	3.1	Q2
CURR ISSUES MOL BIOL	2.8	Q3
CURR ISSUES PERSONAL PSYCHOL	1	Q4
CURR J NEUROL	0.5	Q4
CURR LEG PROBL	1.4	Q1
CURR MED CHEM	3.5	Q2
CURR MED IMAGING	1.1	Q3
CURR MED RES OPIN	2.4	Q3
CURR MED SCI	2	Q3
CURR MICROBIOL	2.3	Q3
CURR MOL MED	2.2	Q3
CURR MOL PHARMACOL	2.4	Q3
CURR NANOSCI	1.4	Q4
CURR NEUROL NEUROSCI REP	4.8	Q1
CURR NEUROPHARMACOL	4.8	Q1
CURR NEUROVASC RES	2	Q3
CURR NUTR FOOD SCI	0.8	Q4
CURR NUTR REP	4.6	Q1
CURR OBES REP	9.5	Q1
CURR OBSTET GYNECOL REP	0.7	Q4
CURR ONCOL	2.8	Q2
CURR ONCOL REP	4.7	Q1
CURR OPHTHALMOL REP	0.9	Q4
CURR OPIN ALLERGY CLIN IMMUNOL	3	Q3
CURR OPIN ANAESTHESIOL	2.3	Q2
CURR OPIN BEHAV SCI	4.9	Q1
CURR OPIN BIOMED ENG	4.7	Q2
CURR OPIN BIOTECHNOL	7.1	Q1
CURR OPIN CARDIOL	2	Q3
CURR OPIN CELL BIOL	6	Q1
CURR OPIN CHEM BIOL	6.9	Q1
CURR OPIN CHEM ENG	8	Q1
CURR OPIN CLIN NUTR METAB CARE	3	Q2
CURR OPIN COLLOID INTERFACE SCI	7.9	Q1
CURR OPIN CRIT CARE	3.5	Q1
CURR OPIN ELECTROCHEM	7.9	Q1
CURR OPIN ENDOCRINOL DIABETES OBES	2.6	Q3
CURR OPIN ENVIRON SCI HEALTH	6.7	Q1
CURR OPIN ENVIRON SUSTAIN	6.6	Q2
CURR OPIN FOOD SCI	8.9	Q1
CURR OPIN GASTROENTEROL	2.6	Q2
CURR OPIN GENET DEV	3.7	Q2
CURR OPIN GREEN SUSTAIN CHEM	9.3	Q1
CURR OPIN HEMATOL	3.1	Q2
CURR OPIN HIV AIDS	4.5	Q1
CURR OPIN IMMUNOL	6.6	Q1
CURR OPIN INFECT DIS	3.6	Q2
CURR OPIN INSECT SCI	5.8	Q1
CURR OPIN LIPIDOL	3.8	Q1
CURR OPIN MICROBIOL	5.9	Q1
CURR OPIN NEPHROL HYPERTENS	2.2	Q2
CURR OPIN NEUROBIOL	4.8	Q1
CURR OPIN NEUROL	4.1	Q2
CURR OPIN OBSTET GYNECOL	2.2	Q2
CURR OPIN ONCOL	2.8	Q2
CURR OPIN OPHTHALMOL	3	Q1
CURR OPIN ORGAN TRANSPLANT	1.8	Q3
CURR OPIN OTOLARYNGOL HEAD NECK SURG	1.9	Q2
CURR OPIN PEDIATR	2.2	Q2
CURR OPIN PHARMACOL	4	Q1
CURR OPIN PHYSIOL	2.5	Q2
CURR OPIN PLANT BIOL	8.3	Q1
CURR OPIN PSYCHIATRY	7.5	Q1
CURR OPIN PSYCHOL	6.3	Q1
CURR OPIN PULM MED	2.8	Q2
CURR OPIN RHEUMATOL	5.2	Q1
CURR OPIN SOLID STATE MATER SCI	12.2	Q1
CURR OPIN STRUCT BIOL	6.1	Q1
CURR OPIN SUPPORT PALLIAT CARE	1.9	Q3
CURR OPIN SYST BIOL	3.4	Q1
CURR OPIN TOXICOL	6.1	Q1
CURR OPIN UROL	2.1	Q2
CURR OPIN VIROL	5.7	Q1
CURR ORG CHEM	1.7	Q3
CURR ORG SYNTH	1.7	Q3
CURR ORGANOCATAL	0.9	Q4
CURR ORTHOP PRACT	0.2	Q4
CURR OSTEOPOROS REP	4.2	Q1
CURR OTORHINOLARYNGOL REP	0.4	Q4
CURR PAIN HEADACHE REP	3.2	Q2
CURR PEDIATR REP	3.6	Q1
CURR PEDIATR REV	1.3	Q3
CURR PHARM ANAL	0.7	Q4
CURR PHARM BIOTECHNOL	2.2	Q3
CURR PHARM DES	2.6	Q2
CURR PHARM TEACH LEARN	1.3	Q3
CURR PHYS MED REHABIL REP	1	Q4
CURR PLANT BIOL	5.4	Q1
CURR POLLUT REP	6.4	Q1
CURR PROBL CANCER	2.5	Q3
CURR PROBL CANCER CASE REP	0.2	Q4
CURR PROBL CARDIOL	3	Q2
CURR PROBL DIAGN RADIOL	1.5	Q3
CURR PROBL PEDIATR ADOLESC HEALTH CARE	3	Q1
CURR PROBL SURG	2.3	Q2
CURR PROTEIN PEPT SCI	1.9	Q4
CURR PROTEOMICS	0.5	Q4
CURR PSYCHIATRY REP	5.5	Q1
CURR PSYCHIATRY RES REV	0.3	Q4
CURR PSYCHOL	2.5	Q2
CURR PULMONOL REP	1.1	Q4
CURR RADIOL REP	1.3	Q3
CURR RADIOPHARM	1.5	Q3
CURR RES BIOTECHNOL	3.6	Q2
CURR RES ENVIRON SUSTAIN	3.7	Q2
CURR RES FOOD SCI	6.2	Q1
CURR RES INSECT SCI	2.2	Q1
CURR RES MICROB SCI	4.8	Q1
CURR RES PARASITOL VECTOR BORNE DIS	1.7	Q3
CURR RES PHYSIOL	2.1	Q3
CURR RES STRUCT BIOL	2.7	Q3
CURR RES TOXICOL	2.9	Q2
CURR RES TRANSL MED	3.2	Q2
CURR RESPIR MED REV	0.2	Q4
CURR REV CLIN EXP PHARMACOL	1.3	Q4
CURR REV MUSCULOSKELET MED	2.9	Q1
CURR RHEUMATOL REP	5.7	Q1
CURR RHEUMATOL REV	1.2	Q4
CURR SCI	1.1	Q3
CURR SEX HEALTH REP	1	Q4
CURR SLEEP MED REP	1.5	Q4
CURR SOCIOL	1.9	Q2
CURR SPORTS MED REP	1.7	Q3
CURR STEM CELL REP	2.3	Q4
CURR STEM CELL RES THER	2.1	Q4
CURR SURG REP	0.7	Q4
CURR THER RES CLIN EXP	1.6	Q3
CURR TOP MED CHEM	2.9	Q3
CURR TOP NUTRACEUTICAL RES	0.4	Q4
CURR TRANSPLANT REP	2.4	Q2
CURR TRAUMA REP	1.5	Q3
CURR TREAT OPTIONS ALLERGY	1.9	Q3
CURR TREAT OPTIONS CARDIOVASC MED	0.8	Q4
CURR TREAT OPTIONS INFECT DIS	2	Q3
CURR TREAT OPTIONS NEUROL	1.8	Q3
CURR TREAT OPTIONS ONCOL	3.8	Q2
CURR TREATM OPT RHEUMATOL	1.7	Q3
CURR TROP MED REP	3.6	Q1
CURR UROL	0.9	Q4
CURR UROL REP	2.5	Q2
CURR VASC PHARMACOL	2.8	Q2
CURR WOMENS HEALTH REV	0.3	Q4
CURR ZOOL	1.6	Q2
CURRIC J	1.2	Q2
CUTAN OCUL TOXICOL	1.6	Q4
CUTIS	2.1	Q3
CVIR ENDOVASC	1.2	Q3
CYBERN SYST	1.1	Q3
CYBERN SYST ANAL	0.5	Q4
CYBERPSYCHOL BEHAV SOC NETW	4.2	Q1
CYBERPSYCHOLOGY (BRNO)	2.4	Q2
CYBERSECUR (SINGAP)	3.9	Q1
CYBORG BIONIC SYST	10.5	Q1
CYTOGENET GENOME RES	1.7	Q3
CYTOJOURNAL	2.5	Q2
CYTOKINE	3.7	Q2
CYTOKINE GROWTH FACTOR REV	9.3	Q1
CYTOL GENET	0.5	Q4
CYTOLOGIA (TOKYO)	0.6	Q4
CYTOMETRY A	2.5	Q3
CYTOMETRY B CLIN CYTOM	2.3	Q2
CYTOPATHOLOGY	1.2	Q3
CYTOSKELETON (HOBOKEN)	2.4	Q4
CYTOTECHNOLOGY	2	Q4
CYTOTHERAPY	3.7	Q2
DAEDALUS	2.1	Q1
DALTON TRANS	3.5	Q2
DAN MED J	1	Q3
DAPHNIS	0.2	NA
DARU	2.5	Q3
DATA (BASEL)	2.2	Q2
DATA BRIEF	1	Q3
DATA INTELL	1.3	Q3
DATA KNOWL ENG	2.7	Q2
DATA MIN KNOWL DISCOV	2.8	Q2
DATA POLICY	1.8	Q3
DATA SCI ENG	5.1	Q1
DATABASE (OXFORD)	3.4	Q1
DEAFNESS EDUC INT	1.1	Q3
DEATH STUD	2.1	Q2
DECIS ANAL	2.5	Q3
DECIS SCI	2.8	Q2
DECIS SUPPORT SYST	6.7	Q1
DECISION (WASH D C )	1	Q3
DEEP SEA RES 1 OCEANOGR RES PAP	2.3	Q2
DEEP SEA RES 2 TOP STUD OCEANOGR	2.3	Q2
DEF PEACE ECON	1.6	Q2
DEF SCI J	0.8	Q3
DEGENER NEUROL NEUROMUSCUL DIS	2.1	Q3
DEMENT GERIATR COGN DIS EXTRA	1.4	Q4
DEMENT GERIATR COGN DISORD	2.2	Q3
DEMENTIA (LONDON)	2.4	Q2
DEMOCRATIZATION	3.7	Q1
DEMOGR RES	2.1	Q2
DEMOGRAFIE	0.9	Q3
DEMOGRAPHY	3.6	Q1
DEN OPEN	1.4	Q4
DENDROCHRONOLOGIA (VERONA)	2.7	Q2
DENT CADMOS	0.2	Q4
DENT HYPOTHESES	0.6	Q4
DENT J (BASEL)	2.5	Q2
DENT MATER	4.6	Q2
DENT MATER J	1.9	Q4
DENT MED PROBL	2.7	Q1
DENT TRAUMATOL	2.3	Q2
DENTOMAXILLOFAC RADIOL	2.9	Q2
DEPOS REC	1.9	Q1
DEPRESS ANXIETY	4.7	Q1
DERMATITIS	4	Q1
DERMATOL CLIN	2.2	Q2
DERMATOL PRACT CONCEPT	2.5	Q2
DERMATOL REPORTS	2.3	Q2
DERMATOL RES PRACT	1.5	Q3
DERMATOL SURG	2.5	Q1
DERMATOL THER	3.7	Q1
DERMATOL THER (HEIDELB)	3.5	Q1
DERMATOLOGIE (HEIDELB)	0.8	Q4
DERMATOLOGY	3	Q2
DERMATOPATHOLOGY (BASEL)	1.6	Q3
DES CODES CRYPTOGR	1.4	Q2
DES CULT	0.7	NA
DES J (ALDERSHOT)	0.8	NA
DES MONOMERS POLYM	1.8	Q3
DES STUD	3.2	Q1
DESALINATION	8.3	Q1
DEV BIOL	2.5	Q2
DEV CELL	10.7	Q1
DEV CHANGE	3	Q1
DEV COGN NEUROSCI	4.6	Q1
DEV COMP IMMUNOL	2.7	Q1
DEV DYN	2	Q3
DEV ECON	2.5	Q2
DEV GENES EVOL	0.8	Q4
DEV GROWTH DIFFER	1.7	Q3
DEV MED CHILD NEUROL	3.8	Q1
DEV NEUROBIOL	2.7	Q3
DEV NEUROPSYCHOL	1.6	Q3
DEV NEUROREHABIL	1.1	Q3
DEV NEUROSCI	2.3	Q3
DEV POLICY REV	2	Q2
DEV PRACT	1	Q4
DEV PSYCHOBIOL	1.8	Q3
DEV PSYCHOL	3.1	Q2
DEV PSYCHOPATHOL	3.1	Q2
DEV REV	5.7	Q1
DEV SCI	3.1	Q1
DEV SOUTH AFR	1.3	Q3
DEV WORLD BIOETH	0.9	Q3
DEVELOPMENT	3.7	Q1
DEVIANT BEHAV	1.7	Q2
DIAB VASC DIS RES	2.8	Q2
DIABET EPIDEMIOL MANAG	1	Q4
DIABET MED	3.2	Q2
DIABETES	6.2	Q1
DIABETES CARE	14.8	Q1
DIABETES METAB	4.6	Q1
DIABETES METAB J	6.8	Q1
DIABETES METAB RES REV	4.6	Q1
DIABETES METAB SYNDR	4.3	Q1
DIABETES METAB SYNDR OBES	2.8	Q3
DIABETES OBES METAB	5.4	Q1
DIABETES RES CLIN PRACT	6.1	Q1
DIABETES TECHNOL THER	5.7	Q1
DIABETES THER	2.8	Q3
DIABETOL INT	1.3	Q4
DIABETOL METAB SYNDR	3.4	Q2
DIABETOLOGIA	8.4	Q1
DIABETOLOGY (BASEL)	2.4	Q3
DIAGN CYTOPATHOL	1	Q4
DIAGN INTERV IMAGING	4.9	Q1
DIAGN INTERV RADIOL	1.4	Q3
DIAGN MICROBIOL INFECT DIS	2.1	Q3
DIAGN PATHOL	2.4	Q2
DIAGNOSIS (BERL)	2.2	Q2
DIAGNOSTICS (BASEL)	3	Q1
DIALECT ANTHROPOL	1	Q2
DIALOG	0.2	NA
DIALOGUE CAN PHILOS ASSOC	0.2	NA
DIALOGUES HUM GEOGR	8.2	Q1
DIAM RELAT MATER	4.3	Q2
DIATOM RES	1.9	Q2
DICKENSIAN	0.7	NA
DIFFER EQU DYN SYST	0.8	Q3
DIFFER GEOM APPL	0.6	Q4
DIFFERENCES	0.8	Q3
DIFFERENTIATION	2.2	Q3
DIG DIS	2	Q3
DIG DIS SCI	2.5	Q2
DIG ENDOSC	5	Q1
DIG J NANOMATER BIOSTRUCT	1	Q4
DIG LIVER DIS	4	Q1
DIG SURG	1.8	Q2
DIGESTION	3	Q2
DIGIT CHEM ENG	3	Q2
DIGIT COMMUN NETW	7.5	Q1
DIGIT DISCOV	6.2	Q1
DIGIT HEALTH	2.9	Q2
DIGIT JOURNAL (ABINGDON)	5.2	Q1
DIGIT LIBR PERSPECT	1.1	Q3
DIGIT SIGNAL PROCESS	2.9	Q2
DIMENS CRIT CARE NURS	1.4	Q3
DIPL STATECRAFT	0.3	Q4
DIS AQUAT ORGAN	1.1	Q3
DIS COLON RECTUM	3.2	Q1
DIS ESOPHAGUS	2.3	Q3
DIS MODEL MECH	4	Q1
DIS MON	3.8	Q1
DISABIL HEALTH J	3.7	Q1
DISABIL REHABIL	2.1	Q1
DISABIL REHABIL ASSIST TECHNOL	1.9	Q2
DISABIL SOC	1.9	Q1
DISASTER MED PUBLIC HEALTH PREP	1.9	Q3
DISASTERS	2.4	Q1
DISCOURSE (LOND)	1.7	Q2
DISCOURSE CONTEXT MEDIA	2.3	Q1
DISCOURSE PROCESS	2.1	Q2
DISCOURSE SOC	2.4	Q1
DISCOURSE STUD	1.4	Q2
DISCOV MED	2	Q3
DISCOV ONCOL	2.8	Q2
DISCOV SUSTAIN	2.4	Q3
DISCRET EVENT DYN SYST	1.4	Q3
DISCRET MATH THEOR COMPUT SCI	0.5	Q4
DISCRETE APPL MATH	1	Q3
DISCRETE COMPUT GEOM	0.6	Q3
DISCRETE CONTIN DYN SYST SER A	1.1	Q2
DISCRETE CONTINUOUS DYN SYST SER B	1.3	Q2
DISCRETE DYN NAT SOC	1.3	Q2
DISCRETE MATH	0.7	Q2
DISCRETE MATH ALGORITHMS APPL	0.6	Q4
DISEASES	2.9	Q2
DISP	0.7	Q4
DISSENT	0.6	Q3
DISTINKTION	1.4	Q2
DISTRIB COMPUT	1.3	Q3
DISTRIB PARALLEL DATABASES	1.5	Q2
DIVERS DISTRIB	4.6	Q1
DIVERSITY (BASEL)	2.1	Q3
DIVING HYPERB MED	0.8	Q4
DNA CELL BIOL	2.6	Q2
DNA REPAIR (AMST)	3	Q2
DNA RES	3.9	Q1
DOC ANAL GEOGR	0.7	Q3
DOC OPHTHALMOL	2.6	Q2
DOKL BIOCHEM BIOPHYS	0.8	Q4
DOMES	0.6	Q2
DOMEST ANIM ENDOCRINOL	1.9	Q3
DOSE RESPONSE	2.3	Q2
DREAMING	0.8	Q3
DRESS	0.2	NA
DRUG ALCOHOL DEPEND	3.9	Q1
DRUG ALCOHOL REV	3	Q2
DRUG CHEM TOXICOL	2.1	Q3
DRUG DELIV	6.5	Q1
DRUG DELIV TRANSL RES	5.7	Q1
DRUG DES DEVEL THER	4.7	Q1
DRUG DEV IND PHARM	2.4	Q3
DRUG DEV RES	3.5	Q2
DRUG DISCOV THER	1.9	Q3
DRUG DISCOV TODAY	6.5	Q1
DRUG HEALTHC PATIENT SAF	2.2	Q2
DRUG METAB DISPOS	4.4	Q1
DRUG METAB PHARMACOKINET	2.7	Q2
DRUG METAB REV	3.4	Q2
DRUG RES (STUTTG)	1.7	Q3
DRUG RESIST UPDAT	15.8	Q1
DRUG SAF	4	Q1
DRUG TARGET INSIGHTS	2	Q3
DRUG TEST ANAL	2.6	Q2
DRUGS	13	Q1
DRUGS (ABINGDON ENGL)	1.5	Q3
DRUGS AGING	3.4	Q2
DRUGS HABITS SOC POLICY	1.3	Q4
DRUGS R D	2.2	Q3
DRUGS REAL WORLD OUTCOMES	1.9	Q3
DRUGS THER PERSPECT	0.6	Q4
DRY TECHNOL	2.7	Q2
DTSCH ARZTEBL INT	6.5	Q1
DTSCH MED WOCHENSCHR	0.6	Q3
DTSCH VIERTELJAHRESSCHR LITT WISS GEISTESGESCH	0.4	NA
DTSCH Z PHILOS	0.2	NA
DU BOIS REV	1.6	Q2
DUKE LAW J	1.8	Q1
DUSUNEN ADAM	0.7	Q4
DYES PIGM	4.1	Q1
DYN GAMES APPL	1.8	Q2
DYNAMIS	0.3	Q3
DYSLEXIA	1.9	Q2
DYSPHAGIA	2.2	Q1
EAR HEAR	2.6	Q1
EAR NOSE THROAT J	1	Q3
EARLY AM LIT	0.3	NA
EARLY CHILD EDUC J	2.3	Q1
EARLY CHILD RES Q	3.2	Q1
EARLY EDUC DEV	2.1	Q2
EARLY HUM DEV	2.2	Q2
EARLY INTERV PSYCHIATRY	2.1	Q3
EARLY MEDIEV EUR	0.7	NA
EARLY SCI MED	0.5	Q3
EARLY YEARS (STOKE-ON-TRENT)	1.3	Q2
EARTH (BASEL)	2.1	Q3
EARTH INTERACT	1.6	Q3
EARTH MOON PLANETS	0.7	Q4
EARTH PLANET SCI LETT	4.8	Q1
EARTH PLANETS SPACE	3	Q2
EARTH SCI HIST	0.3	Q3
EARTH SCI INFORM	2.7	Q2
EARTH SCI REV	10.8	Q1
EARTH SPACE SCI	2.9	Q2
EARTH SURF PROCESS LANDF	2.8	Q2
EARTH SYST DYN	7.9	Q1
EARTH SYST ENVIRON	5.3	Q1
EARTH SYST SCI DATA	11.2	Q1
EARTHQ ENG STRUCT DYN	4.3	Q1
EARTHQ SPECTRA	3.1	Q2
EARTHS FUTURE	7.3	Q1
EAST ASIA (PISCATAWAY)	1.2	Q1
EAST ASIAN J APPLIED MATH	1.2	Q2
EAST ASIAN SCI TECHNOL SOC	0.7	Q2
EAST CENT EUR	0.2	Q2
EAST ECON J	1.1	Q3
EAST EUR JEW AFF	0.2	NA
EAST EUR POLIT SOC	0.7	Q3
EAST EUROP ECON	1.3	Q3
EAST MEDITERR HEALTH J	1.7	Q3
EAT BEHAV	2.4	Q2
EAT DISORD	3	Q1
EAT WEIGHT DISORD	2.9	Q2
EBIOMEDICINE	9.7	Q1
ECANCERMEDICALSCIENCE	1.2	Q4
ECHO RES PRACT	3.2	Q2
ECHOCARDIOGRAPHY	1.6	Q3
ECLINICALMEDICINE	9.6	Q1
ECO MONT	0.7	Q4
ECOGRAPHY	5.4	Q1
ECOHEALTH	2.2	Q3
ECOHYDROLOGY	2.5	Q2
ECOL APPL	4.3	Q2
ECOL ECON	6.6	Q1
ECOL ENTOMOL	2	Q2
ECOL EVOL	2.3	Q2
ECOL FOOD NUTR	1.7	Q4
ECOL FRESHW FISH	1.6	Q2
ECOL INDIC	7	Q1
ECOL INFORM	5.8	Q1
ECOL LAW Q	0.3	Q3
ECOL LETT	7.6	Q1
ECOL MODELL	2.6	Q2
ECOL MONOGR	7.1	Q1
ECOL PROCESS	4.6	Q2
ECOL PSYCHOL	1.8	Q3
ECOL RES	1.7	Q3
ECOL RESTOR	2.3	Q2
ECOL SOC	3.6	Q2
ECOL SOLUT EVID	2.6	Q2
ECOLOGIES (BASEL)	1.7	Q3
ECOLOGY	4.4	Q1
ECOMAT	10.7	Q1
ECON ANAL POLICY	7.9	Q1
ECON ANTHROPOL	1.2	Q2
ECON BOT	1.7	Q2
ECON COMPUT ECON CYBERN STUD RES	1.4	Q3
ECON DEV CULT CHANGE	2	Q2
ECON DEV Q	1.7	Q3
ECON EDUC REV	1.8	Q2
ECON GEOGR	7.2	Q1
ECON GEOL	5.5	Q1
ECON HIST DEV REG	0.9	Q1
ECON HIST REV	1.4	Q1
ECON HUM BIOL	2.2	Q2
ECON IND DEMOCR	1.7	Q2
ECON INQ	1.7	Q2
ECON J (LONDON)	3.8	Q1
