abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
J SCH PSYCHOL	Journal of school psychology	0022-4405	1873-3506	PERGAMON-ELSEVIER SCIENCE LTD	JOURNAL OF SCHOOL PSYCHOLOGY	4.292	6.033	5.0	3.8	4.1	Q1	Q1	Q1	Q1	Q1
CONTEMP PSYCHOANAL	Contemporary psychoanalysis	0010-7530	2330-9091	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	CONTEMPORARY PSYCHOANALYSIS	0.386	0.256	0.5	0.5	0.2	Q4	Q4	Q3	Q2	Q4
PSYCHOL SCH	Psychology in the schools	0033-3085	1520-6807	WILEY	PSYCHOLOGY IN THE SCHOOLS	1.774	1.923	2.0	1.8	1.7	Q3	Q3	Q3	Q3	Q3
J COMMUNITY APPL SOC PSYCHOL	Journal of community & applied social psychology	1052-9284		WILEY	JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY	2.366	2.968	2.7	2.7	2.1	Q3	Q3	Q3	Q2	Q3
J KUWAIT MED ASSOC	The Journal of the Kuwait Medical Association	0023-5776			KUWAIT MEDICAL JOURNAL	0.076	0.075	0.1	0.1		Q4	Q4	Q4	Q4	Q4
CRIM JUSTICE BEHAV	Criminal justice and behavior	0093-8548		SAGE PUBLICATIONS INC	CRIMINAL JUSTICE AND BEHAVIOR	2.801	2.562	2.1	2.1	1.7	Q2	Q2	Q2	Q1	Q2
CURR PSYCHOL	Current psychology (New Brunswick, N.J.)	1046-1310	1936-4733	SPRINGER	CURRENT PSYCHOLOGY	4.297	2.387	2.8	2.5	2.6	Q1	Q2	Q2	Q2	Q1
INT REV PSYCHIATRY	International review of psychiatry (Abingdon, England)	0954-0261	1369-1627	TAYLOR & FRANCIS LTD	INTERNATIONAL REVIEW OF PSYCHIATRY	4.14	3.287	2.8	3.7	3.4	Q2	Q3	Q3	Q1	Q2
J LAW MED	Journal of law and medicine	1320-159X		THOMSON REUTERS AUSTRALIA LTD	JOURNAL OF LAW AND MEDICINE				0.6	0.5				Q2	Q3
LAW LIBR J	Law library journal	0023-9283		AMER ASSOC LAW LIBRARIES	LAW LIBRARY JOURNAL	0.258	0.32	0.2	0.3	0.3	Q4	Q4	Q4	Q3	Q3
SCI TECHNOL HUMAN VALUES	Science, technology & human values	0162-2439		SAGE PUBLICATIONS INC	SCIENCE TECHNOLOGY & HUMAN VALUES	3.534	3.634	3.1	3.1	3.3	Q1	Q1	Q2	Q1	Q1
EUR J HEALTH LAW	European journal of health law	0929-0273	1571-8093		EUROPEAN JOURNAL OF HEALTH LAW			0.8	0.6	0.7				Q2	Q2
J AGING STUD	Journal of aging studies	0890-4065	1879-193X	ELSEVIER SCIENCE INC	JOURNAL OF AGING STUDIES	2.078	2.707	2.3	1.8	1.9	Q3	Q2	Q3	Q2	Q3
IR J PSYCHOL MED	Irish journal of psychological medicine	0790-9667	2051-6967	CAMBRIDGE UNIV PRESS	IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE			5.1	1.8	2.1				Q3	Q3
J SOC PERS RELAT	Journal of social and personal relationships	0265-4075	1460-3608	SAGE PUBLICATIONS LTD	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	3.039	2.681	2.8	2.3	2.3	Q2	Q2	Q2	Q1	Q1
PERSPECT SCI CHRIST FAITH	Perspectives on science and Christian faith : journal of the American Scientific Affiliation	0892-2675			PERSPECTIVES ON SCIENCE AND CHRISTIAN FAITH			0.7	0.2	0.7					
J SOC ISSUES	The Journal of social issues	0022-4537	1540-4560	WILEY	JOURNAL OF SOCIAL ISSUES	3.424	5.418	3.9	4.0	4.7	Q1	Q1	Q1	Q1	Q1
J MARRIAGE FAM	Journal of marriage and the family	0022-2445	1741-3737	WILEY	JOURNAL OF MARRIAGE AND FAMILY	3.896	4.917	6.0	2.7	3.4	Q1	Q1	Q1	Q1	Q1
PUBLIC PERS MANAGE	Public personnel management	0091-0260	1945-7421	SAGE PUBLICATIONS INC	PUBLIC PERSONNEL MANAGEMENT	2.304	2.6	3.0	3.1	2.6	Q3	Q2	Q2	Q1	Q2
ENVIRON ETHICS	Environmental ethics	0163-4275		ENVIRONMENTAL PHILOSOPHY INC	ENVIRONMENTAL ETHICS	0.283	0.472	0.3	1.1	1.1	Q4	Q4	Q4	Q3	Q3
ACCOUNT RES	Accountability in research	0898-9621	1545-5815	TAYLOR & FRANCIS INC	ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE	2.622	3.057				Q2	Q2			
J COUNS DEV	Journal of counseling and development : JCD	0748-9633		WILEY	JOURNAL OF COUNSELING AND DEVELOPMENT	2.063	2.455	2.3	2.3	2.5	Q3	Q3	Q3	Q2	Q2
ANTHROPOL TODAY	Anthropology today	0268-540X		WILEY	ANTHROPOLOGY TODAY			1.3	1.5	2.8				Q2	Q1
J OBSTET GYNAECOL	Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology	0144-3615	1364-6893	TAYLOR & FRANCIS INC	JOURNAL OF OBSTETRICS AND GYNAECOLOGY	1.246	1.226	1.3	0.9	1.2	Q4	Q4	Q4	Q4	Q4
POPUL ENVIRON	Population and environment	0199-0039		SPRINGER	POPULATION AND ENVIRONMENT	3.537	4.283	3.3	3.2	2.5	Q1	Q1	Q2	Q1	Q1
J COMP FAM STUD	Journal of comparative family studies	0047-2328		UNIV TORONTO PRESS INC	JOURNAL OF COMPARATIVE FAMILY STUDIES	0.297	1.366	1.7	0.8	0.6	Q4	Q4	Q3	Q4	Q4
J PSYCHOL THEOL	Journal of psychology and theology	0091-6471			JOURNAL OF PSYCHOLOGY AND THEOLOGY	0.6	0.82	0.7	0.4	0.7	Q4	Q4	Q4	Q4	Q4
J HIGHER EDUC	The Journal of higher education	0022-1546		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF HIGHER EDUCATION	3.108	3.204	3.1	2.6	2.4	Q2	Q2	Q2	Q1	Q1
INT J PSYCHOL	International journal of psychology : Journal international de psychologie	0020-7594	1464-066X	JOHN WILEY & SONS LTD	INTERNATIONAL JOURNAL OF PSYCHOLOGY	2.0	2.291	3.2	3.3	1.6	Q3	Q3	Q2	Q1	Q2
J CRIM LAW CRIMINOL	The Journal of criminal law & criminology	0091-4169	2160-0325	NORTHWESTERN UNIV	JOURNAL OF CRIMINAL LAW & CRIMINOLOGY	3.2	2.184	1.8	1.1	1.3	Q1	Q1	Q2	Q2	Q1
STAT SCI	Statistical science : a review journal of the Institute of Mathematical Statistics	0883-4237	2168-8745	INST MATHEMATICAL STATISTICS-IMS	STATISTICAL SCIENCE	2.901	4.015	5.7	3.9	3.4	Q1	Q1	Q1	Q1	Q1
PHILOS PUBLIC AFF	Philosophy & public affairs	0048-3915		WILEY	PHILOSOPHY & PUBLIC AFFAIRS	2.0	2.2	2.2	3.3	2.1	Q2	Q2	Q2	Q1	Q2
HASTINGS LAW J	The Hastings law journal	0017-8322			HASTINGS LAW JOURNAL	0.941	1.024	0.5	0.7	0.8	Q3	Q3	Q4	Q2	Q2
BUS PROF ETHICS J	Business & professional ethics journal	0277-2027		PHILOSOPHY DOCUMENTATION CENTER	BUSINESS & PROFESSIONAL ETHICS JOURNAL			0.4	0.4	0.5				Q4	Q4
INDIANA LAW J	Indiana law journal (Indianapolis, Ind. : 1926)	0019-6665		INDIANA LAW JOURNAL	INDIANA LAW JOURNAL	1.513	1.55	0.8	1.5	1.4	Q2	Q2	Q3	Q1	Q1
UNIV PA LAW REV	University of Pennsylvania law review	0041-9907		UNIV PENN LAW SCH	UNIVERSITY OF PENNSYLVANIA LAW REVIEW	2.178	3.548	2.5		3.1	Q1	Q1	Q1		Q1
UCLA LAW REV	UCLA law review. University of California, Los Angeles. School of Law	0041-5650		UNIV CALIF	UCLA LAW REVIEW		2.51	2.4	2.3	2.6		Q1	Q1	Q1	Q1
UNIV CINCINNATI LAW REV	University of Cincinnati law review. University of Cincinnati. College of Law	0009-6881		UNIV CINCINNATI LAW REVIEW	UNIVERSITY OF CINCINNATI LAW REVIEW	0.134	0.286	0.4	0.2	0.2	Q4	Q4	Q4	Q4	Q3
UNIV PITTSBG LAW REV	University of Pittsburgh law review. University of Pittsburgh. School of Law	0041-9915		UNIV PITTSBURGH, UNIV LIBRARY SYSTEM	UNIVERSITY OF PITTSBURGH LAW REVIEW	0.17	0.107	0.2	0.2	0.2	Q4	Q4	Q4	Q4	Q3
WIS L REV	Wisconsin law review	0043-650X		UNIV WISCONSIN LAW SCHOOL	WISCONSIN LAW REVIEW	0.704	1.185	0.6	0.7	1.3	Q4	Q3	Q4	Q2	Q1
MINN LAW REV	Minnesota law review	0026-5535		MINN LAW REVIEW FOUND	MINNESOTA LAW REVIEW	2.068	1.734	1.3	3.0	3.2	Q2	Q2	Q2	Q1	Q1
BOSTON UNIV LAW REV	Boston University law review. Boston University. School of Law	0006-8047		BOSTON UNIV LAW REVIEW	BOSTON UNIVERSITY LAW REVIEW	1.768	1.78	1.7	1.6	1.7	Q2	Q2	Q2	Q1	Q1
WASH LAW REV	Washington law review (Seattle, Wash. : 1962)	0043-0617		UNIV WASHINGTON SCHOOL OF LAW	WASHINGTON LAW REVIEW	1.0	0.89	1.3	1.1	1.4	Q3	Q3	Q2	Q2	Q1
J SOC PHILOS	Journal of social philosophy	0047-2786	1467-9833	WILEY	JOURNAL OF SOCIAL PHILOSOPHY	1.07	1.063	0.8	1.1	1.2	Q3	Q3	Q4	Q3	Q3
UNIV N S W LAW J	The University of New South Wales law journal	0313-0096			UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL			1.3	1.2	0.8				Q1	Q2
MOD LAW REV	The Modern law review	0026-7961		WILEY	MODERN LAW REVIEW	1.779	1.54	0.9	1.5	1.5	Q2	Q2	Q3	Q1	Q1
ALTA LAW REV	Alberta law review	0002-4821		UNIV ALBERTA	ALBERTA LAW REVIEW			0.5	0.3	0.4				Q3	Q3
INT COMP LAW Q	The International and comparative law quarterly	0020-5893		CAMBRIDGE UNIV PRESS	INTERNATIONAL & COMPARATIVE LAW QUARTERLY	1.932	2.0	2.0	1.6	2.0	Q2	Q2	Q2	Q1	Q1
COLUMBIA J LAW SOC PROBL	Columbia journal of law and social problems	0010-1923		COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC	COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS	0.481	0.444	0.2	0.2	0.2	Q4	Q4	Q4	Q4	Q3
MELB UNIV LAW REV	Melbourne University law review	0025-8938			MELBOURNE UNIVERSITY LAW REVIEW	0.813	0.935	0.9	0.8	0.7	Q3	Q3	Q3	Q2	Q2
N Y UNIV LAW REV	New York University law review (1950)	0028-7881		NEW YORK UNIV SCHOOL LAW	NEW YORK UNIVERSITY LAW REVIEW	2.438	2.427	2.4	2.1	1.7	Q1	Q1	Q1	Q1	Q1
VANDERBILT LAW REV	Vanderbilt law review	0042-2533		VANDERBILT LAW REVIEW	VANDERBILT LAW REVIEW	2.452	2.092	1.9	2.4	2.3	Q1	Q1	Q2	Q1	Q1
J MORAL EDUC	Journal of moral education	0305-7240		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF MORAL EDUCATION	2.22	1.398	1.7	1.7	1.8	Q3	Q4	Q3	Q2	Q2
IOWA LAW REV	Iowa law review	0021-0552		UNIV IOWA, COLL LAW	IOWA LAW REVIEW	1.138	1.352	1.3	1.0	1.1	Q3	Q3	Q2	Q2	Q2
BUFFALO LAW REV	Buffalo law review	0023-9356		UNIV BUFFALO STATE UNIV NEW YORK	BUFFALO LAW REVIEW	0.619	0.808	0.5	0.6	0.4	Q4	Q3	Q4	Q2	Q3
CAN J WOMEN LAW	Canadian journal of women and the law = Revue juridique La femme et le droit	0832-8781		UNIV TORONTO PRESS INC	CANADIAN JOURNAL OF WOMEN AND THE LAW			0.3	0.1	0.2				Q4	Q3
SOC PHILOS POLICY	Social philosophy & policy	0265-0525		CAMBRIDGE UNIV PRESS	SOCIAL PHILOSOPHY & POLICY	0.451	0.264	0.4	0.3		Q4	Q4	Q4	Q3	
AM CRIM LAW REV	The American criminal law review	0164-0364			AMERICAN CRIMINAL LAW REVIEW	3.455		0.4		0.8	Q1		Q4		Q2
CAMB LAW J	The Cambridge law journal	0008-1973		CAMBRIDGE UNIV PRESS	CAMBRIDGE LAW JOURNAL	1.571	1.909	1.5	1.5	1.4	Q2	Q2	Q2	Q1	Q1
NORTHWEST UNIV LAW REV	Northwestern University law review	0029-3571		NORTHWESTERN UNIV	NORTHWESTERN UNIVERSITY LAW REVIEW	2.221	2.438	1.9	2.0	2.5	Q1	Q1	Q2	Q1	Q1
AUST LAW J	The Australian law journal	0004-9611		LAWBOOK CO LTD	AUSTRALIAN LAW JOURNAL			0.4	0.3	0.3				Q3	Q3
CATHOL UNIVERS LAW REV	Catholic University law review	0008-8390		CATHOLIC UNIV AMER PRESS	CATHOLIC UNIVERSITY LAW REVIEW	0.511	0.286	0.2	0.2	0.2	Q4	Q4	Q4	Q4	Q3
GEORGE WASHINGTON LAW REV	The George Washington law review	0016-8076		GEORGE WASHINGTON UNIV	GEORGE WASHINGTON LAW REVIEW	1.671	1.548	1.5	1.6	1.5	Q2	Q2	Q2	Q1	Q1
HARVARD J LEGIS	Harvard journal on legislation	0017-808X		HARVARD LAW SCHOOL	HARVARD JOURNAL ON LEGISLATION					0.6					Q2
ECOL LAW Q	Ecology law quarterly	0046-1121		UNIV CALIFORNIA, BERKELEY SCH LAW	ECOLOGY LAW QUARTERLY	0.924	0.575		0.3	0.3	Q3	Q4		Q3	Q3
HARV J LAW PUBLIC POLICY	Harvard journal of law & public policy	0193-4872		HARVARD SOC LAW PUBLIC POLICY	HARVARD JOURNAL OF LAW AND PUBLIC POLICY	0.887	0.667	0.6	0.6	0.5	Q3	Q4	Q4	Q2	Q3
HARV CIV RIGHTS-CIVIL LIB LAW REV	Harvard civil rights-civil liberties law review	0017-8039			HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW				0.4	0.8				Q3	Q2
TEX LAW REV	Texas law review	0040-4411		TEXAS LAW REVIEW PUBL INC	TEXAS LAW REVIEW	2.174	1.394	1.6	2.2	1.7	Q1	Q2	Q2	Q1	Q1
UNIV ILL LAW REV	University of Illinois law review	0276-9948		UNIV ILLINOIS	UNIVERSITY OF ILLINOIS LAW REVIEW	1.287	0.857	1.1	1.0	1.2	Q3	Q3	Q3	Q2	Q2
YALE J REGUL	Yale journal on regulation	0741-9457		YALE JOURNAL ON REGULATION	YALE JOURNAL ON REGULATION	3.25	2.962	2.8	1.2	2.1	Q1	Q1	Q1	Q1	Q1
J LAW RELIG	The Journal of law and religion	0748-0814			JOURNAL OF LAW AND RELIGION				0.6	0.8					
NOTRE DAME LAW REV	The Notre Dame law review	0745-3515		NOTRE DAME LAW SCHOOL	NOTRE DAME LAW REVIEW	1.989	0.897	0.9	1.0	1.3	Q2	Q3	Q3	Q2	Q1
INT SOC WORK	International social work	0020-8728	1461-7234	SAGE PUBLICATIONS LTD	INTERNATIONAL SOCIAL WORK	1.349	2.071	2.2	1.2	1.2	Q4	Q2	Q2	Q3	Q2
AM J COMP LAW	The American journal of comparative law	0002-919X		OXFORD UNIV PRESS INC	AMERICAN JOURNAL OF COMPARATIVE LAW	0.764	0.951	1.5	1.3	1.0	Q4	Q3	Q2	Q1	Q2
ISR LAW REV	Israel law review	0021-2237		CAMBRIDGE UNIV PRESS	ISRAEL LAW REVIEW			0.7	0.4	2.5				Q3	Q1
OSGOODE HALL LAW J	Osgoode Hall law journal	0030-6185			OSGOODE HALL LAW JOURNAL			0.7	0.8	0.8				Q2	Q2
CORNELL INT LAW J	Cornell international law journal	0010-8812		CORNELL INT LAW JOURNAL	CORNELL INTERNATIONAL LAW JOURNAL	0.72			0.2	0.3	Q4			Q4	Q3
IIC INT REV IND PROP COPYR LAW	IIC; international review of industrial property and copyright law	0018-9855		SPRINGER HEIDELBERG	IIC-INTERNATIONAL REVIEW OF INTELLECTUAL PROPERTY AND COMPETITION LAW			1.0	1.2	1.4				Q1	Q1
UNIV CHIC LAW REV	The University of Chicago law review. University of Chicago. Law School	0041-9494		UNIV CHICAGO LAW SCH	UNIVERSITY OF CHICAGO LAW REVIEW	2.722	2.385	2.0	1.9	2.9	Q1	Q1	Q2	Q1	Q1
UNIV TOR LAW J	The University of Toronto law journal	0042-0220		UNIV TORONTO PRESS INC	UNIVERSITY OF TORONTO LAW JOURNAL	1.234	0.735	0.6	0.7	0.5	Q3	Q4	Q4	Q2	Q3
LOUV STUD	Louvain studies	0024-6964			LOUVAIN STUDIES			0.1	0.1						
REV GEN DROIT	Revue generale de droit	0035-3086		UNIV OTTAWA, FAC LAW	REVUE GENERAL DE DROIT			0.2		0.1				Q4	Q4
S AFR J HUM RIGHTS	South African journal on human rights	0258-7203		TAYLOR & FRANCIS LTD	SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS	0.548	0.806	0.9	0.3	0.6	Q4	Q3	Q3	Q3	Q2
FUTURES	Futures	0016-3287		ELSEVIER SCI LTD	FUTURES	3.073	3.788	3.0	3.0	3.8	Q1	Q2	Q2	Q1	Q1
AM J INT LAW	The American journal of international law	0002-9300		CAMBRIDGE UNIV PRESS	AMERICAN JOURNAL OF INTERNATIONAL LAW	3.091	2.989	4.3	2.7	2.3	Q1	Q1	Q1	Q1	Q1
NEW BLACKFRIARS	New Blackfriars	0028-4289		CAMBRIDGE UNIV PRESS	NEW BLACKFRIARS			0.1	0.2	0.2					
AUSTRALAS CATHOL REC	The Australasian Catholic record	0727-3215			AUSTRALASIAN CATHOLIC RECORD			0.2	0.1						
COMP INT LAW J SOUTH AFR	The Comparative and international law journal of southern Africa = Tydskrif vir regsvergelyking en internasionale reg van Suidelik Afrika = Jornal de direito comparativo e internacional para os paises do sul da Africa = Journal de droit...	0010-4051		UNIV SOUTH AFRICA, INST FOREIGN & COMPARATIVE LAW	COMPARATIVE AND INTERNATIONAL LAW JOURNAL OF SOUTHERN AFRICA-CILSA			0.1	0.1					Q4	Q4
HARVARD INT LAW J	Harvard international law journal	0017-8063		HARVARD LAW SCHOOL	HARVARD INTERNATIONAL LAW JOURNAL					1.7					Q1
HELR HARVARD ENVIRON LAW REV	The Harvard environmental law review : HELR	0147-8257			HARVARD ENVIRONMENTAL LAW REVIEW	2.091	1.385	1.3	0.7		Q2	Q3	Q2	Q2	
QUEENS LAW J	Queen's law journal	0316-778X		QUEENS UNIV, FAC LAW	QUEENS LAW JOURNAL			2.0	0.3	0.1				Q3	Q4
J CONSUM AFF	The Journal of consumer affairs	0022-0078	1745-6606	WILEY	JOURNAL OF CONSUMER AFFAIRS	2.131	2.603	2.8	2.5	3.2	Q2	Q2	Q2	Q2	Q1
J LEGAL EDUC	Journal of legal education	0022-2208		SOUTHWESTERN LAW SCH	JOURNAL OF LEGAL EDUCATION		0.116	0.2		4.8		Q4	Q4		Q1
TOR J THEOL	Toronto journal of theology	0826-9831		UNIV TORONTO PRESS INC	TORONTO JOURNAL OF THEOLOGY			0.3	0.1	0.2					
PARLIAM AFF	Parliamentary affairs	0031-2290		OXFORD UNIV PRESS	PARLIAMENTARY AFFAIRS	1.833	1.324	1.2	1.3	2.1	Q3	Q3	Q3	Q2	Q2
CRIM LAW FORUM	Criminal law forum	1046-8374			CRIMINAL LAW FORUM			0.4	0.9	0.8				Q2	Q2
POLIT Q	The Political quarterly	0032-3179		WILEY	POLITICAL QUARTERLY	1.033	2.021	2.0	1.7	1.5	Q4	Q2	Q2	Q2	Q2
POLITY	Polity	0032-3497		UNIV CHICAGO PRESS	POLITY	1.031	1.702	1.0	1.0	1.1	Q4	Q3	Q4	Q3	Q3
SCH SCI MATH	School science and mathematics	0036-6803		WILEY	SCHOOL SCIENCE AND MATHEMATICS			1.1	0.8	0.9				Q3	Q3
ADM LAW REV	Administrative law review	0001-8368			ADMINISTRATIVE LAW REVIEW	1.929	1.667				Q2	Q2			
J LEGAL STUD	The Journal of legal studies	0047-2530		UNIV CHICAGO PRESS	JOURNAL OF LEGAL STUDIES	1.108	1.577	1.0	0.9	1.1	Q3	Q2	Q3	Q2	Q2
CAN STUD POPUL	Canadian studies in population	0380-1489		SPRINGER	CANADIAN STUDIES IN POPULATION	0.773	0.852	1.2	1.8	1.0	Q4	Q4	Q4	Q2	Q3
CAN YEARB INT LAW	The Canadian yearbook of international law. Annuaire canadien de droit international	0069-0058		CAMBRIDGE UNIV PRESS	CANADIAN YEARBOOK OF INTERNATIONAL LAW				0.4	0.1				Q3	Q4
CURR LEG PROBL	Current legal problems	0070-1998		OXFORD UNIV PRESS	CURRENT LEGAL PROBLEMS	0.583	1.529	1.2	1.4	1.1	Q4	Q2	Q3	Q1	Q2
SUPREME COURT REV	The Supreme Court review	0081-9557		UNIV CHICAGO PRESS	SUPREME COURT REVIEW	1.333	1.571	2.0	2.0	3.1	Q3	Q2	Q2	Q1	Q1
OXF J LEG STUD	Oxford journal of legal studies	0143-6503	1464-3820	OXFORD UNIV PRESS	OXFORD JOURNAL OF LEGAL STUDIES	1.704	1.443	1.2	1.4	1.0	Q2	Q2	Q3	Q1	Q2
LIVERP LAW REV	The Liverpool law review	0144-932X		SPRINGER	LIVERPOOL LAW REVIEW			1.0	0.3	0.3				Q3	Q3
INT J TECHNOL MANAG	International journal of technology management = Journal international de la gestion technologique	0267-5730		INDERSCIENCE ENTERPRISES LTD	INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	1.667	1.526	2.8	1.4	1.4	Q3	Q3	Q2	Q2	Q3
EDUC STUD	Educational studies	0305-5698		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	EDUCATIONAL STUDIES	1.19	1.5	1.7	1.8	1.6	Q4	Q4	Q3	Q2	Q2
CONTEMP EUR HIST	Contemporary European history	0960-7773			CONTEMPORARY EUROPEAN HISTORY	0.78	0.962	0.8	0.8	0.7	Q2	Q1	Q1	Q1	Q1
BUS ETHICS	Business ethics (Oxford, England)	0962-8770			BUSINESS ETHICS-A EUROPEAN REVIEW	6.967	5.056	4.8			Q1	Q1	Q1		
GER POLIT	German politics	0964-4008		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	GERMAN POLITICS	2.159	1.322	1.4	1.9	2.1	Q2	Q3	Q3	Q2	Q2
AUST INTELLECT PROP J	Australian intellectual property journal	1038-1635		LAWBOOK CO LTD	AUSTRALIAN INTELLECTUAL PROPERTY JOURNAL				0.2	0.1				Q4	Q4
CRIM LAW J	Criminal law journal	0314-1160		LAWBOOK CO LTD	CRIMINAL LAW JOURNAL			0.5	0.3	0.5				Q3	Q3
HONG KONG LAW J	Hong Kong law journal	0378-0600		SWEET MAXWELL LTD	HONG KONG LAW JOURNAL	0.611	0.242	0.4	0.3	0.2	Q4	Q4	Q4	Q3	Q3
STANFORD J INT LAW	Stanford journal of international law	0731-5082			STANFORD JOURNAL OF INTERNATIONAL LAW	1.357	0.273	1.0			Q2	Q4	Q3		
CAN J LAW SOC	Canadian journal of law and society = Revue canadienne de droit et societe	0829-3201			CANADIAN JOURNAL OF LAW AND SOCIETY			0.7	0.5					Q3	
AGRIC HUMAN VALUES	Agriculture and human values	0889-048X	1572-8366	SPRINGER	AGRICULTURE AND HUMAN VALUES	3.295	4.908	4.5	3.5	3.6	Q1	Q1	Q1	Q1	Q1
BUS ETHICS Q	Business ethics quarterly : the journal of the Society for Business Ethics	1052-150X		CAMBRIDGE UNIV PRESS	BUSINESS ETHICS QUARTERLY	3.719	4.697	3.0	3.4	3.0	Q1	Q1	Q1	Q1	Q1
SOCIOL RELIG	Sociology of religion	1069-4404		OXFORD UNIV PRESS INC	SOCIOLOGY OF RELIGION	3.476	3.421	3.1	2.4	1.7	Q1	Q1	Q1	Q1	Q2
CONTEMP ECON POLICY	Contemporary economic policy	1074-3529		WILEY	CONTEMPORARY ECONOMIC POLICY	0.943	1.212	1.5	1.7	1.9	Q4	Q4	Q3	Q2	Q2
MONASH BIOETH REV	Monash bioethics review	1321-2753	1836-6716	SPRINGER HEIDELBERG	MONASH BIOETHICS REVIEW			1.6	1.6	1.6				Q2	Q2
LAW TEACH	The Law teacher	0306-9400		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	LAW TEACHER			0.8	1.1	1.2				Q3	Q2
POLIT RES Q	Political research quarterly	1065-9129		SAGE PUBLICATIONS INC	POLITICAL RESEARCH QUARTERLY	2.556	2.531	2.1	1.5	2.1	Q2	Q2	Q2	Q2	Q2
CROSS CURR	Cross currents	0011-1953		UNIV NORTH CAROLINA PRESS	CROSS CURRENTS					0.2					
LAW SOC INQ	Law & social inquiry : journal of the American Bar Foundation	0897-6546		CAMBRIDGE UNIV PRESS	LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION	1.274	1.396	1.6	1.4		Q3	Q2	Q2	Q1	
ARCH CARDIOL MEX	Archivos de cardiologia de Mexico	1405-9940	1665-1731		ARCHIVOS DE CARDIOLOGIA DE MEXICO			0.5	0.7	0.7				Q4	Q4
EURO SURVEILL	Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin	1025-496X	1560-7917	EUR CENTRE DIS PREVENTION & CONTROL	EUROSURVEILLANCE	6.307	21.286	19.0	9.9	7.8	Q1	Q1	Q1	Q1	Q1
Z PSYCHOSOM MED PSYCHOTHER	Zeitschrift fur Psychosomatische Medizin und Psychotherapie	1438-3608	2196-8349		ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE	0.791	1.0	0.9	0.8	0.8	Q2	Q1	Q2	Q2	Q1
CURR GENOMICS	Current genomics	1389-2029	1875-5488	BENTHAM SCIENCE PUBL LTD	CURRENT GENOMICS	2.236	2.689	2.6	1.8	1.4	Q3	Q3	Q3	Q3	Q4
RESPIR RES	Respiratory research	1465-9921	1465-993X	BMC	RESPIRATORY RESEARCH	5.631	7.162	5.8	4.7	5.0	Q1	Q1	Q1	Q1	Q1
SLEEP BREATH	Sleep & breathing = Schlaf & Atmung	1520-9512	1522-1709	SPRINGER HEIDELBERG	SLEEP AND BREATHING	2.816	2.655	2.5	2.1	2.0	Q3	Q3	Q3	Q3	Q3
CHIN J TRAUMATOL	Chinese journal of traumatology = Zhonghua chuang shang za zhi	1008-1275		ELSEVIER INC	CHINESE JOURNAL OF TRAUMATOLOGY			2.1	1.8	1.9				Q2	Q2
ZOOLOGY (JENA)	Zoology (Jena, Germany)	0944-2006	1873-2720	ELSEVIER GMBH	ZOOLOGY	2.24	2.027	2.0	1.6	1.6	Q2	Q2	Q1	Q2	Q2
HUM FERTIL (CAMB)	Human fertility (Cambridge, England)	1464-7273	1742-8149	TAYLOR & FRANCIS LTD	HUMAN FERTILITY	2.767	2.186	1.9	2.1	1.5	Q3	Q4	Q4	Q2	Q3
DOKL BIOCHEM BIOPHYS	Doklady. Biochemistry and biophysics	1607-6729	1608-3091		DOKLADY BIOCHEMISTRY AND BIOPHYSICS	0.788	0.834	0.8	0.8	0.7	Q4	Q4	Q4	Q4	Q4
J ANIM PHYSIOL ANIM NUTR (BERL)	Journal of animal physiology and animal nutrition	0931-2439	1439-0396	WILEY	JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION	2.13	2.718	2.7	2.2	2.4	Q2	Q1	Q1	Q1	Q1
MOL CELL PROTEOMICS	Molecular & cellular proteomics : MCP	1535-9476	1535-9484	ELSEVIER	MOLECULAR & CELLULAR PROTEOMICS	5.911	7.381	7.0	6.1	5.5	Q1	Q1	Q1	Q1	Q1
